R	53.3334	-6.40628	D421	08 Feb 2024	D421\n19:13 - Grand Canal Dock to Hazelhatch (0 mins late)\nDeparted Clondalkin next stop Adamstown	Southbound
R	53.3334	-6.40628	P420	08 Feb 2024	P420\n19:40 - Hazelhatch to Grand Canal Dock (0 mins late)\nArrived Clondalkin next stop Park West and Cherry Orchard	Northbound
R	53.334	-6.37868	A225	08 Feb 2024	A225\n17:25 - Cork to Dublin Heuston (-1 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3397	-6.23773	E255	08 Feb 2024	E255\n19:10 - Malahide to Bray (6 mins late)\nDeparted Grand Canal Dock next stop Lansdowne Road	Southbound
R	53.3433	-6.24829	E256	08 Feb 2024	E256\n19:20 - Howth to Bray (0 mins late)\nArrived Dublin Pearse next stop Grand Canal Dock	Southbound
R	53.3433	-6.24829	E840	08 Feb 2024	E840\n19:05 - Bray to Malahide (1 mins late)\nDeparted Dublin Pearse next stop Tara Street	Northbound
R	53.347	-6.25425	D422	08 Feb 2024	D422\n19:43 - Grand Canal Dock to Hazelhatch (0 mins late)\nDeparted Tara Street next stop Dublin Connolly	Southbound
R	53.3531	-6.24591	P623	08 Feb 2024	P623\n18:50 - Drogheda to Dublin Pearse (1 mins late)\nArrived Dublin Connolly next stop Tara Street	Southbound
R	53.3602	-7.79847	A808	08 Feb 2024	A808\n18:15 - Dublin Heuston to Westport (15 mins late)\nDeparted Clonydonnin next stop Athlone	To Westport
R	53.3704	-6.50598	A914	08 Feb 2024	A914\n19:17 - Dublin Connolly to Sligo (2 mins late)\nDeparted Leixlip (Louisa Bridge) next stop Maynooth	Northbound
R	53.3704	-6.50598	P677	08 Feb 2024	P677\n19:45 - Maynooth to Dublin Pearse (-1 mins late)\nArrived Leixlip (Louisa Bridge) next stop Leixlip (Confey)	Southbound
R	53.373	-6.20442	E128	08 Feb 2024	E128\n19:30 - Malahide to Greystones (3 mins late)\nArrived Killester next stop Clontarf Road	Southbound
R	53.373	-6.20442	E941	08 Feb 2024	E941\n18:55 - Bray to Howth (0 mins late)\nArrived Killester next stop Harmonstown	Northbound
R	53.3752	-6.31388	P759	08 Feb 2024	P759\n19:18 - Maynooth to Dublin Connolly (3 mins late)\nDeparted Pelletstown next stop Broombridge	Southbound
R	53.3815	-6.17699	E839	08 Feb 2024	E839\n18:34 - Greystones to Malahide (6 mins late)\nArrived Raheny next stop Kilbarrack	Northbound
R	53.3816	-6.37149	D324	08 Feb 2024	D324\n19:30 - Docklands to M3 Parkway (0 mins late)\nArrived Castleknock next stop Coolmine	Northbound
R	53.3917	-6.13678	E257	08 Feb 2024	E257\n19:45 - Howth to Bray (0 mins late)\nArrived Bayside next stop Howth Junction	Southbound
R	53.392	-6.11448	E940	08 Feb 2024	E940\n18:35 - Bray to Howth (7 mins late)\nArrived Sutton next stop Howth	Northbound
R	53.4157	-6.83395	A913	08 Feb 2024	A913\n16:55 - Sligo to Dublin Connolly (2 mins late)\nDeparted Enfield next stop Kilcock	Southbound
